,TumorType,Feature,mi_score
0,ESCA,X1433EPSILON,3.6770395103173277
1,ESCA,X4EBP1,3.677039510317328
2,ESCA,X4EBP1_pS65,3.677039510317328
3,ESCA,X4EBP1_pT37T46,3.677039510317328
4,ESCA,X53BP1,3.6770395103173277
5,ESCA,ACC_pS79,3.6770395103173277
6,ESCA,ACC1,3.677039510317328
7,ESCA,AKT,3.6770395103173277
8,ESCA,AKT_pS473,3.677039510317328
9,ESCA,AKT_pT308,3.6770395103173277
10,ESCA,AMPKALPHA,3.6770395103173277
11,ESCA,AMPK_pT172,3.6770395103173277
12,ESCA,AR,3.6770395103173277
13,ESCA,ASNS,3.6647714186260014
14,ESCA,ATM,3.6770395103173272
15,ESCA,BAK,3.6770395103173277
16,ESCA,BAX,3.6770395103173277
17,ESCA,BCL2,3.6770395103173277
18,ESCA,BCLXL,3.627967143552022
19,ESCA,BECLIN,3.6601409040794124
20,ESCA,BETACATENIN,3.677039510317328
21,ESCA,BID,3.6770395103173277
22,ESCA,BIM,3.677039510317328
23,ESCA,CJUN_pS73,3.677039510317328
24,ESCA,CKIT,3.677039510317328
25,ESCA,CMET_pY1235,3.6647714186260014
26,ESCA,CMYC,3.677039510317328
27,ESCA,CRAF,3.6770395103173272
28,ESCA,CRAF_pS338,3.6770395103173277
29,ESCA,CASPASE7CLEAVEDD198,3.6770395103173277
30,ESCA,CAVEOLIN1,3.677039510317328
31,ESCA,CD31,3.677039510317328
32,ESCA,CD49B,3.6770395103173277
33,ESCA,CDK1,3.6770395103173277
34,ESCA,CHK1,3.6770395103173277
35,ESCA,CHK1_pS345,3.677039510317328
36,ESCA,CHK2,3.6770395103173277
37,ESCA,CHK2_pT68,3.6478728123880857
38,ESCA,CIAP,3.6770395103173277
39,ESCA,CLAUDIN7,3.6770395103173277
40,ESCA,COLLAGENVI,3.6647714186260014
41,ESCA,CYCLINB1,3.6770395103173277
42,ESCA,CYCLIND1,3.6770395103173277
43,ESCA,CYCLINE1,3.6770395103173277
44,ESCA,DJ1,3.6770395103173277
45,ESCA,DVL3,3.6770395103173277
46,ESCA,ECADHERIN,3.6770395103173277
47,ESCA,EEF2,3.664771418626001
48,ESCA,EEF2K,3.6770395103173277
49,ESCA,EGFR,3.6770395103173277
50,ESCA,EGFR_pY1068,3.677039510317328
51,ESCA,EGFR_pY1173,3.6770395103173277
52,ESCA,EIF4E,3.6770395103173277
53,ESCA,ERALPHA,3.6770395103173277
54,ESCA,ERALPHA_pS118,3.6770395103173277
55,ESCA,ERK2,3.6770395103173277
56,ESCA,FIBRONECTIN,3.6770395103173277
57,ESCA,FOXO3A,3.6770395103173277
58,ESCA,GAB2,3.6770395103173277
59,ESCA,GATA3,3.6770395103173277
60,ESCA,GSK3ALPHABETA,3.6478728123880857
61,ESCA,GSK3ALPHABETA_pS21S9,3.677039510317328
62,ESCA,HER2,3.677039510317328
63,ESCA,HER2_pY1248,3.664771418626001
64,ESCA,HER3,3.6770395103173277
65,ESCA,HER3_pY1298,3.6770395103173277
66,ESCA,HSP70,3.6770395103173272
67,ESCA,IGFBP2,3.6770395103173277
68,ESCA,INPP4B,3.6770395103173277
69,ESCA,IRS1,3.6478728123880857
70,ESCA,JNK_pT183Y185,3.6770395103173277
71,ESCA,JNK2,3.6770395103173277
72,ESCA,KU80,3.647872812388086
73,ESCA,LCK,3.6770395103173277
74,ESCA,LKB1,3.640235235243348
75,ESCA,MAPK_pT202Y204,3.677039510317328
76,ESCA,MEK1,3.6770395103173277
77,ESCA,MEK1_pS217S221,3.677039510317328
78,ESCA,MIG6,3.6058254433954646
79,ESCA,MRE11,3.5420905017127366
80,ESCA,MTOR,3.6770395103173277
81,ESCA,MTOR_pS2448,3.677039510317328
82,ESCA,NCADHERIN,3.6770395103173277
83,ESCA,NFKBP65_pS536,3.6770395103173277
84,ESCA,NF2,3.677039510317328
85,ESCA,NOTCH1,3.6770395103173277
86,ESCA,PCADHERIN,3.677039510317328
87,ESCA,P27,3.6770395103173277
88,ESCA,P27_pT157,3.6770395103173277
89,ESCA,P38MAPK,3.6770395103173277
90,ESCA,P38_pT180Y182,3.677039510317328
91,ESCA,P53,3.6770395103173277
92,ESCA,P70S6K,3.6770395103173277
93,ESCA,P70S6K_pT389,3.6770395103173277
94,ESCA,P90RSK_pT359S363,3.6770395103173277
95,ESCA,PAI1,3.6647714186260014
96,ESCA,PAXILLIN,3.6770395103173277
97,ESCA,PCNA,3.6770395103173277
98,ESCA,PDK1_pS241,3.6770395103173277
99,ESCA,PEA15,3.6770395103173277
100,ESCA,PI3KP110ALPHA,3.6647714186260014
101,ESCA,PKCALPHA,3.6770395103173277
102,ESCA,PKCALPHA_pS657,3.6770395103173277
103,ESCA,PKCDELTA_pS664,3.677039510317328
104,ESCA,PR,3.6770395103173272
105,ESCA,PRAS40_pT246,3.6478728123880857
106,ESCA,PTEN,3.6770395103173277
107,ESCA,RAD50,3.664771418626002
108,ESCA,RAD51,3.6770395103173272
109,ESCA,RB_pS807S811,3.6770395103173277
110,ESCA,S6,3.6770395103173277
111,ESCA,S6_pS235S236,3.6770395103173277
112,ESCA,S6_pS240S244,3.6770395103173277
113,ESCA,SHC_pY317,3.6770395103173272
114,ESCA,SMAD1,3.6770395103173277
115,ESCA,SMAD3,3.677039510317328
116,ESCA,SMAD4,3.677039510317328
117,ESCA,SRC,3.6770395103173277
118,ESCA,SRC_pY416,3.677039510317328
119,ESCA,SRC_pY527,3.677039510317328
120,ESCA,STAT3_pY705,3.6770395103173277
121,ESCA,STAT5ALPHA,3.6770395103173277
122,ESCA,STATHMIN,3.6770395103173277
123,ESCA,SYK,3.6770395103173277
124,ESCA,TUBERIN,3.664771418626001
125,ESCA,VEGFR2,3.6770395103173277
126,ESCA,XRCC1,3.664771418626002
127,ESCA,YAP,3.677039510317328
128,ESCA,YAP_pS127,3.677039510317328
129,ESCA,YB1,3.6770395103173277
130,ESCA,YB1_pS102,3.6647714186260014
131,ESCA,X4EBP1_pT70,3.6770395103173277
132,ESCA,ARAF_pS299,3.6770395103173277
133,ESCA,ANNEXINVII,3.664771418626001
134,ESCA,ARID1A,0.0
135,ESCA,BRAF,3.6770395103173277
136,ESCA,BAD_pS112,3.6770395103173277
137,ESCA,BAP1C4,3.677039510317328
138,ESCA,BRCA2,3.677039510317328
139,ESCA,CD20,3.677039510317328
140,ESCA,CYCLINE2,3.6770395103173277
141,ESCA,ETS1,3.6770395103173277
142,ESCA,EIF4G,3.6770395103173277
143,ESCA,FASN,3.6770395103173277
144,ESCA,FOXO3A_pS318S321,3.677039510317328
145,ESCA,FOXM1,3.6770395103173277
146,ESCA,G6PD,3.6770395103173277
147,ESCA,GAPDH,3.6770395103173277
148,ESCA,GSK3_pS9,3.6770395103173277
149,ESCA,HEREGULIN,3.6770395103173277
150,ESCA,MYH11,3.6770395103173277
151,ESCA,MYOSINIIA_pS1943,3.6770395103173277
152,ESCA,NRAS,3.677039510317328
153,ESCA,NDRG1_pT346,3.6770395103173277
154,ESCA,P21,3.6770395103173277
155,ESCA,P27_pT198,3.6770395103173277
156,ESCA,P90RSK,3.6770395103173277
157,ESCA,PDCD4,3.677039510317328
158,ESCA,PDK1,3.6647714186260014
159,ESCA,PEA15_pS116,3.677039510317328
160,ESCA,PI3KP85,3.677039510317328
161,ESCA,PKCPANBETAII_pS660,3.664771418626002
162,ESCA,PRDX1,3.664771418626001
163,ESCA,RAB11,3.6770395103173277
164,ESCA,RAB25,3.6601409040794124
165,ESCA,RAPTOR,3.6770395103173277
166,ESCA,RBM15,3.6770395103173277
167,ESCA,RICTOR,3.6770395103173277
168,ESCA,RICTOR_pT1135,3.6770395103173277
169,ESCA,SCD1,3.627967143552022
170,ESCA,SF2,3.677039510317328
171,ESCA,TAZ,3.6770395103173277
172,ESCA,TIGAR,3.6647714186260014
173,ESCA,TRANSGLUTAMINASE,3.6770395103173277
174,ESCA,TFRC,3.677039510317328
175,ESCA,TSC1,3.6770395103173277
176,ESCA,TUBERIN_pT1462,3.6770395103173277
177,ESCA,VHL,3.6770395103173277
178,ESCA,XBP1,3.6770395103173272
179,ESCA,ACETYLATUBULINLYS40,3.6770395103173277
180,ESCA,P62LCKLIGAND,3.677039510317328
181,ESCA,X1433BETA,3.6770395103173277
182,ESCA,X1433ZETA,3.6770395103173277
183,ESCA,ACVRL1,3.6770395103173277
184,ESCA,DIRAS3,3.6770395103173277
185,ESCA,ANNEXIN1,3.6770395103173277
186,ESCA,PREX1,3.6770395103173277
187,ESCA,ERCC1,3.6770395103173277
188,ESCA,MSH2,3.6770395103173277
189,ESCA,MSH6,3.677039510317328
190,ESCA,SMAC,3.677039510317328
191,ESCA,ADAR1,3.6770395103173277
192,ESCA,ALPHACATENIN,3.6770395103173277
193,ESCA,TTF1,3.6770395103173277
194,ESCA,CASPASE3,0.0
195,ESCA,CASPASE9,0.0
196,ESCA,PARP1,0.0
197,ESCA,JAB1,0.0
